,Ticker Bloomberg,volume_avg_90d,ValDate,Fund,Ticker Lote,ProductClass,Book,FinancialPU,Amount,Dt_Expiry,YesterdayPU,YestAmount,PL,EQUITY,Trade,Tipo,ISIN,Isin_Ativo_Objeto
0,ALPA4 BZ Equity,1936497.0,2020-04-13,BRAZIL OPPORTUNITIES FIM,ALPA4,Equity,RV_Brasil_Long_,25.01,9913.0,,25.99,9913.0,-9714.73999999997,247924.13,ESTOQUE,STOCK,BBG000BC1CL9,
1,ALPA4 BZ Equity,1936497.0,2020-04-13,BRAZIL OPPORTUNITIES VISTA FIM,ALPA4,Equity,RV_Brasil_Long_,25.01,100965.0,,25.99,100965.0,-98945.6999999997,2525134.65,ESTOQUE,STOCK,BBG000BC1CL9,
2,ALPA4 BZ Equity,1936497.0,2020-04-13,VISTA FIA,ALPA4,Equity,RV_Brasil_Long_,25.01,494587.0,,25.99,494587.0,-484695.259999998,12369620.87,ESTOQUE,STOCK,BBG000BC1CL9,
3,ALPA4 BZ Equity,1936497.0,2020-04-13,VISTA LONG BIASED MASTER FIM,ALPA4,Equity,RV_Brasil_Long_,25.01,47935.0,,25.99,47935.0,-46976.2999999999,1198854.35,ESTOQUE,STOCK,BBG000BC1CL9,
4,BBAS3 BZ Equity,16533430.0,2020-04-13,BRAZIL OPPORTUNITIES FIM,BBAS3,Equity,RV_Brasil_Long_,30.24,9462.0,,29.65,9462.0,5582.58,286130.88,ESTOQUE,STOCK,BBG000BG5VC4,
5,BBAS3 BZ Equity,16533430.0,2020-04-13,BRAZIL OPPORTUNITIES VISTA FIM,BBAS3,Equity,RV_Brasil_Long_,30.24,96371.0,,29.65,96371.0,56858.89,2914259.04,ESTOQUE,STOCK,BBG000BG5VC4,
6,BBAS3 BZ Equity,16533430.0,2020-04-13,VISTA FIA,BBAS3,Equity,RV_Brasil_Long_,30.24,472711.0,,29.65,472711.0,278899.49,14294780.64,ESTOQUE,STOCK,BBG000BG5VC4,
7,BBAS3 BZ Equity,16533430.0,2020-04-13,VISTA HEDGE FIC FIM,BBAS3,Equity,RV_Brasil_Bancos_,30.24,-17436.23,,29.65,-17436.23,-10287.3757,-527271.5952,ESTOQUE,STOCK,BBG000BG5VC4,
8,BBAS3 BZ Equity,16533430.0,2020-04-13,VISTA LONG BIASED MASTER FIM,BBAS3,Equity,RV_Brasil_Long_,30.24,45756.0,,29.65,45756.0,26996.04,1383661.44,ESTOQUE,STOCK,BBG000BG5VC4,
9,BBAS3 BZ Equity,16533430.0,2020-04-13,VISTA MACRO MASTER FIM,BBAS3,Equity,RV_Brasil_Bancos_,30.24,-500000.0,,29.65,-500000.0,-295000.0,-15120000.0,ESTOQUE,STOCK,BBG000BG5VC4,
10,BBAS3 BZ Equity,16533430.0,2020-04-13,VISTA MULTIESTRATEGIA FIC FIM,BBAS3,Equity,RV_Brasil_Bancos_,30.24,-429560.625,,29.65,-429560.625,-253440.76875,-12989913.3,ESTOQUE,STOCK,BBG000BG5VC4,
11,BBDC4 BZ Equity,27483280.0,2020-04-13,BRAZIL OPPORTUNITIES FIM,BBDC4,Equity,RV_Brasil_Long_,22.97,5892.0,,22.39,5892.0,3417.3599999999897,135339.24,ESTOQUE,STOCK,BBG000BBKQT1,
12,BBDC4 BZ Equity,27483280.0,2020-04-13,BRAZIL OPPORTUNITIES VISTA FIM,BBDC4,Equity,RV_Brasil_Long_,22.97,60011.0,,22.39,60011.0,34806.3799999999,1378452.67,ESTOQUE,STOCK,BBG000BBKQT1,
13,BBDC4 BZ Equity,27483280.0,2020-04-13,VISTA FIA,BBDC4,Equity,RV_Brasil_Long_,22.97,293806.0,,22.39,293806.0,170407.479999999,6748723.82,ESTOQUE,STOCK,BBG000BBKQT1,
14,BBDC4 BZ Equity,27483280.0,2020-04-13,VISTA HEDGE FIC FIM,BBDC4,Equity,RV_Brasil_Bancos_,22.97,-17436.23,,,0.0,-18327.221353,-400510.2031,ESTOQUE,STOCK,BBG000BBKQT1,
15,BBDC4 BZ Equity,27483280.0,2020-04-13,VISTA LONG BIASED MASTER FIM,BBDC4,Equity,RV_Brasil_Long_,22.97,28491.0,,22.39,28491.0,16524.78,654438.27,ESTOQUE,STOCK,BBG000BBKQT1,
16,BBDC4 BZ Equity,27483280.0,2020-04-13,VISTA MACRO MASTER FIM,BBDC4,Equity,RV_Brasil_Bancos_,22.97,-500000.0,,,0.0,-525550.000000001,-11485000.0,ESTOQUE,STOCK,BBG000BBKQT1,
17,BBDC4 BZ Equity,27483280.0,2020-04-13,VISTA MULTIESTRATEGIA FIC FIM,BBDC4,Equity,RV_Brasil_Bancos_,22.97,-429560.625,,,0.0,-451511.172937501,-9867007.55625,ESTOQUE,STOCK,BBG000BBKQT1,
18,BOVA11 BZ Equity,10470560.0,2020-04-13,BRAZIL OPPORTUNITIES FIM,BOVA11,Equity,RV_Brasil_Ações,75.96,13230.0,,74.87,13230.0,14420.6999999999,1004950.8,ESTOQUE,STOCK,BBG000CL19G1,
19,BOVA11 BZ Equity,10470560.0,2020-04-13,BRAZIL OPPORTUNITIES VISTA FIM,BOVA11,Equity,RV_Brasil_Ações,75.96,134744.0,,74.87,134744.0,146870.959999999,10235154.24,ESTOQUE,STOCK,BBG000CL19G1,
20,BOVA11 BZ Equity,10470560.0,2020-04-13,VISTA LONG BIASED MASTER FIM,BOVA11,Equity,RV_Brasil_Ações,75.96,63976.0,,74.87,63976.0,69733.8399999993,4859616.96,ESTOQUE,STOCK,BBG000CL19G1,
21,BRPR3 BZ Equity,2810202.0,2020-04-13,BRAZIL OPPORTUNITIES FIM,BRPR3,Equity,RV_Brasil_Long_,8.99,30890.0,,8.87,30890.0,3706.8000000000297,277701.1,ESTOQUE,STOCK,BBG000H524F2,
22,BRPR3 BZ Equity,2810202.0,2020-04-13,BRAZIL OPPORTUNITIES VISTA FIM,BRPR3,Equity,RV_Brasil_Long_,8.99,314608.0,,8.87,314608.0,37752.9600000003,2828325.92,ESTOQUE,STOCK,BBG000H524F2,
23,BRPR3 BZ Equity,2810202.0,2020-04-13,VISTA FIA,BRPR3,Equity,RV_Brasil_Long_,8.99,1543427.0,,8.87,1543427.0,185211.240000002,13875408.73,ESTOQUE,STOCK,BBG000H524F2,
24,BRPR3 BZ Equity,2810202.0,2020-04-13,VISTA LONG BIASED MASTER FIM,BRPR3,Equity,RV_Brasil_Long_,8.99,149375.0,,8.87,149375.0,17925.000000000102,1342881.25,ESTOQUE,STOCK,BBG000H524F2,
